name,2004,2005,2011,2013,2014,2018
Alexander Henning Ulrich,1.0,1.0,1.0,1.0,1.0,1.0
Hernandes Faustino de Carvalho,0.0,0.0,0.0,0.0,0.0,0.0
Pedro Gerber Machado,0.0,0.0,0.0,0.0,0.0,0.0
